PairKey,SMILES_A,SMILES_B,Target_neglog_molkg,source
C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1||CCCCCC(C)OC(=O)COc1ccc(Cl)c2cccnc12,C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,CCCCCC(C)OC(=O)COc1ccc(Cl)c2cccnc12,2.737918842951633,Acute_Oral_Toxicity
CC#N||OCCNCCO,CC#N,OCCNCCO,1.595380721804849,Smyth
CC#N||OCCO,CC#N,OCCO,0.8087370642073912,Smyth
CC#N||OCCOCCOCCOCCOCCOCCOCCOCCO,CC#N,OCCOCCOCCOCCOCCOCCOCCOCCO,1.551310627146823,Smyth
CC#N||OCCOc1ccccc1,CC#N,OCCOc1ccccc1,1.180599648069791,Smyth
CC(=NC#N)N(C)Cc1ccc(Cl)nc1||Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,CC(=NC#N)N(C)Cc1ccc(Cl)nc1,Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,3.4440698369404945,Acute_Oral_Toxicity
CC(=O)OO||OO,CC(=O)OO,OO,2.2777811444398344,Acute_Oral_Toxicity
CC(=O)c1ccccc1||CC(C)=O,CC(=O)c1ccccc1,CC(C)=O,1.4598310607095917,Smyth
CC(=O)c1ccccc1||CC(O)CO,CC(=O)c1ccccc1,CC(O)CO,1.0621639088127377,Smyth
CC(=O)c1ccccc1||CC(O)COC(C)COC(C)C,CC(=O)c1ccccc1,CC(O)COC(C)COC(C)C,1.3156873947468284,Smyth
CC(=O)c1ccccc1||CC1=CC(=O)CC(C)(C)C1,CC(=O)c1ccccc1,CC1=CC(=O)CC(C)(C)C1,1.4537702032410895,Smyth
CC(=O)c1ccccc1||CC1CO1,CC(=O)c1ccccc1,CC1CO1,1.621872248321362,Smyth
CC(=O)c1ccccc1||CCCCCCCCCCCCCOCCOCCOCCO,CC(=O)c1ccccc1,CCCCCCCCCCCCCOCCOCCOCCO,1.7379233295144447,Smyth
CC(=O)c1ccccc1||CCCCOCCCC,CC(=O)c1ccccc1,CCCCOCCCC,1.6331145619162095,Smyth
CC(=O)c1ccccc1||CCCCOCCO,CC(=O)c1ccccc1,CCCCOCCO,1.87942833282382,Smyth
CC(=O)c1ccccc1||CCO,CC(=O)c1ccccc1,CCO,1.5132406839739698,Smyth
CC(=O)c1ccccc1||CCOC(C)=O,CC(=O)c1ccccc1,CCOC(C)=O,1.5818701414470155,Smyth
CC(=O)c1ccccc1||Cc1ccccc1,CC(=O)c1ccccc1,Cc1ccccc1,1.738631101897642,Smyth
CC(=O)c1ccccc1||ClC(Cl)(Cl)Cl,CC(=O)c1ccccc1,ClC(Cl)(Cl)Cl,1.9263560184015704,Smyth
CC(=O)c1ccccc1||ClC(Cl)=C(Cl)Cl,CC(=O)c1ccccc1,ClC(Cl)=C(Cl)Cl,1.9708915720925675,Smyth
CC(=O)c1ccccc1||Nc1ccccc1,CC(=O)c1ccccc1,Nc1ccccc1,1.854930656716008,Smyth
CC(=O)c1ccccc1||O=[N+]([O-])c1ccccc1,CC(=O)c1ccccc1,O=[N+]([O-])c1ccccc1,2.10944636573327,Smyth
CC(=O)c1ccccc1||OCCNCCO,CC(=O)c1ccccc1,OCCNCCO,1.7060648211006193,Smyth
CC(=O)c1ccccc1||OCCO,CC(=O)c1ccccc1,OCCO,1.267691475926359,Smyth
CC(=O)c1ccccc1||OCCOCCOCCOCCOCCOCCOCCOCCO,CC(=O)c1ccccc1,OCCOCCOCCOCCOCCOCCOCCOCCO,1.4800443190850718,Smyth
CC(=O)c1ccccc1||OCCOc1ccccc1,CC(=O)c1ccccc1,OCCOc1ccccc1,1.4524310983770383,Smyth
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1||CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,4.497862229577772,Acute_Oral_Toxicity
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1||CN(C)C(=S)SSC(=S)N(C)C,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,CN(C)C(=S)SSC(=S)N(C)C,2.548082522945193,Acute_Oral_Toxicity
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1||N#Cc1c[nH]cc1-c1cccc2c1OC(F)(F)O2,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,N#Cc1c[nH]cc1-c1cccc2c1OC(F)(F)O2,3.06933307817748,Acute_Oral_Toxicity
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1||O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,2.6875726689992043,Acute_Oral_Toxicity
CC(C)(C)C(O)C(Cc1ccc(Cl)cc1)n1cncn1||CC(C)C(O)(c1ccc(OC(F)(F)F)cc1)c1cncnc1,CC(C)(C)C(O)C(Cc1ccc(Cl)cc1)n1cncn1,CC(C)C(O)(c1ccc(OC(F)(F)F)cc1)c1cncnc1,2.672207951371229,Acute_Oral_Toxicity
CC(C)=CCCC(C)=CCO||CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,CC(C)=CCCC(C)=CCO,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,2.701934346797424,Acute_Oral_Toxicity
CC(C)=O||CC(O)CO,CC(C)=O,CC(O)CO,0.5607222171398913,Smyth
CC(C)=O||CC(O)COC(C)COC(C)C,CC(C)=O,CC(O)COC(C)COC(C)C,0.8759938410930392,Smyth
CC(C)=O||CC1=CC(=O)CC(C)(C)C1,CC(C)=O,CC1=CC(=O)CC(C)(C)C1,1.6917515962728118,Smyth
CC(C)=O||CC1CO1,CC(C)=O,CC1CO1,1.3558361819198854,Smyth
CC(C)=O||CCCCCCCCCCCCCOCCOCCOCCO,CC(C)=O,CCCCCCCCCCCCCOCCOCCOCCO,1.3691408395331632,Smyth
CC(C)=O||CCCCOCCCC,CC(C)=O,CCCCOCCCC,0.9740662629992884,Smyth
CC(C)=O||CCCCOCCO,CC(C)=O,CCCCOCCO,1.458763429452952,Smyth
CC(C)=O||CCO,CC(C)=O,CCO,0.6013802904610945,Smyth
CC(C)=O||CCOC(C)=O,CC(C)=O,CCOC(C)=O,0.8543239148606132,Smyth
CC(C)=O||Cc1ccccc1,CC(C)=O,Cc1ccccc1,1.11961982299938,Smyth
CC(C)=O||ClC(Cl)(Cl)Cl,CC(C)=O,ClC(Cl)(Cl)Cl,1.3731709791416162,Smyth
CC(C)=O||ClC(Cl)=C(Cl)Cl,CC(C)=O,ClC(Cl)=C(Cl)Cl,1.2616314818069907,Smyth
CC(C)=O||Nc1ccccc1,CC(C)=O,Nc1ccccc1,1.7365111088837282,Smyth
CC(C)=O||O=[N+]([O-])c1ccccc1,CC(C)=O,O=[N+]([O-])c1ccccc1,2.147013965500748,Smyth
CC(C)=O||OCCNCCO,CC(C)=O,OCCNCCO,1.7554458686430583,Smyth
CC(C)=O||OCCO,CC(C)=O,OCCO,0.5417070323928865,Smyth
CC(C)=O||OCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)=O,OCCOCCOCCOCCOCCOCCOCCOCCO,1.1038303978277764,Smyth
CC(C)=O||OCCOc1ccccc1,CC(C)=O,OCCOc1ccccc1,1.1249343106096157,Smyth
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1||CC1=C(C(=O)Nc2ccccc2)SCCO1,CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,CC1=C(C(=O)Nc2ccccc2)SCCO1,2.55928719021898,Acute_Oral_Toxicity
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1||CNC(=N[N+](=O)[O-])NCc1cnc(Cl)s1,CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,CNC(=N[N+](=O)[O-])NCc1cnc(Cl)s1,2.306742637286912,Acute_Oral_Toxicity
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1||COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,2.564694596478458,Acute_Oral_Toxicity
CC(C)CC(C)c1sccc1NC(=O)c1cn(C)nc1C(F)(F)F||N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,CC(C)CC(C)c1sccc1NC(=O)c1cn(C)nc1C(F)(F)F,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,2.2651041120701434,Acute_Oral_Toxicity
CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1||CSc1nnc(C(C)(C)C)c(=O)n1N,CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1,CSc1nnc(C(C)(C)C)c(=O)n1N,2.3576936724105257,Acute_Oral_Toxicity
CC(COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1||O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,CC(COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1,O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,3.3740313912683604,Acute_Oral_Toxicity
CC(O)COC(C)COC(C)C||CC(O)COC(C)COC(C)C,CC(O)COC(C)COC(C)C,CC(O)COC(C)COC(C)C,1.406530755742775,Smyth
CC(O)COC(C)COC(C)C||CC1=CC(=O)CC(C)(C)C1,CC(O)COC(C)COC(C)C,CC1=CC(=O)CC(C)(C)C1,1.3639776897300728,Smyth
CC(O)COC(C)COC(C)C||CC1CO1,CC(O)COC(C)COC(C)C,CC1CO1,1.7114379518229643,Smyth
CC(O)COC(C)COC(C)C||CCCCCCCCCCCCCOCCOCCOCCO,CC(O)COC(C)COC(C)C,CCCCCCCCCCCCCOCCOCCOCCO,1.6499493233895848,Smyth
CC(O)COC(C)COC(C)C||CCCCOCCCC,CC(O)COC(C)COC(C)C,CCCCOCCCC,1.1793323377611244,Smyth
CC(O)COC(C)COC(C)C||CCCCOCCO,CC(O)COC(C)COC(C)C,CCCCOCCO,1.5811759826686558,Smyth
CC(O)COC(C)COC(C)C||CCO,CC(O)COC(C)COC(C)C,CCO,0.9450481691197504,Smyth
CC(O)COC(C)COC(C)C||CCOC(C)=O,CC(O)COC(C)COC(C)C,CCOC(C)=O,1.0924351709647135,Smyth
CC(O)COC(C)COC(C)C||Cc1ccccc1,CC(O)COC(C)COC(C)C,Cc1ccccc1,1.162716942548032,Smyth
CC(O)COC(C)COC(C)C||ClC(Cl)(Cl)Cl,CC(O)COC(C)COC(C)C,ClC(Cl)(Cl)Cl,1.3193163513153445,Smyth
CC(O)COC(C)COC(C)C||ClC(Cl)=C(Cl)Cl,CC(O)COC(C)COC(C)C,ClC(Cl)=C(Cl)Cl,1.324940660274779,Smyth
CC(O)COC(C)COC(C)C||Nc1ccccc1,CC(O)COC(C)COC(C)C,Nc1ccccc1,1.8744754443556753,Smyth
CC(O)COC(C)COC(C)C||O=[N+]([O-])c1ccccc1,CC(O)COC(C)COC(C)C,O=[N+]([O-])c1ccccc1,2.2023527215403567,Smyth
CC(O)COC(C)COC(C)C||OCCNCCO,CC(O)COC(C)COC(C)C,OCCNCCO,1.8864939556460443,Smyth
CC(O)COC(C)COC(C)C||OCCO,CC(O)COC(C)COC(C)C,OCCO,1.026225003473472,Smyth
CC(O)COC(C)COC(C)C||OCCOCCOCCOCCOCCOCCOCCOCCO,CC(O)COC(C)COC(C)C,OCCOCCOCCOCCOCCOCCOCCOCCO,1.3701921099703647,Smyth
CC(O)COC(C)COC(C)C||OCCOc1ccccc1,CC(O)COC(C)COC(C)C,OCCOc1ccccc1,1.4100298038791117,Smyth
CC(O)CO||CC(O)COC(C)COC(C)C,CC(O)CO,CC(O)COC(C)COC(C)C,0.8935775319768555,Smyth
CC(O)CO||CC1=CC(=O)CC(C)(C)C1,CC(O)CO,CC1=CC(=O)CC(C)(C)C1,1.5808134322210097,Smyth
