SMILES_A,SMILES_B,Target_neglog_molkg
CC(O)COC(C)COC(C)C,ClC(Cl)=C(Cl)Cl,1.324940660274779
CC(O)COC(C)COC(C)C,Nc1ccccc1,1.8744754443556753
CC(O)COC(C)COC(C)C,O=[N+]([O-])c1ccccc1,2.2023527215403567
CC(O)COC(C)COC(C)C,OCCNCCO,1.8864939556460443
CC(O)COC(C)COC(C)C,OCCO,1.026225003473472
CC(O)COC(C)COC(C)C,OCCOCCOCCOCCOCCOCCOCCOCCO,1.3701921099703647
CC(O)COC(C)COC(C)C,OCCOc1ccccc1,1.4100298038791117
CC(O)CO,CC(O)COC(C)COC(C)C,0.8935775319768555
CC(O)CO,CC1=CC(=O)CC(C)(C)C1,1.5808134322210097
CC(O)CO,CC1CO1,1.2725705898177566
CC(O)CO,CCCCCCCCCCCCCOCCOCCOCCO,1.207394288275678
CC(O)CO,CCCCOCCCC,0.5670660199736792
CC(O)CO,CCCCOCCO,1.460099394049177
CC(O)CO,CCO,0.3767268408919583
CC(O)CO,CCOC(C)=O,0.7458071597046687
CC(O)CO,Cc1ccccc1,0.748070512136774
CC(O)CO,ClC(Cl)(Cl)Cl,1.0733255364783372
CC(O)CO,ClC(Cl)=C(Cl)Cl,1.0550127402264329
CC(O)CO,Nc1ccccc1,1.6209914918669115
CC(O)CO,O=[N+]([O-])c1ccccc1,1.9548285959846368
CC(O)CO,OCCNCCO,1.682253328475532
CC(O)CO,OCCO,0.3894729642606084
CC(O)CO,OCCOCCOCCOCCOCCOCCOCCOCCO,0.6859938064891101
CC(O)CO,OCCOc1ccccc1,1.1545983145199474
CC(Oc1ccc(Oc2ccc(C#N)cc2F)cc1)C(=O)O,CCCCOC(=O)C(C)Oc1ccc(Oc2ccc(C#N)cc2F)cc1,2.53477758962022
CC1(C)C(=O)N(CO)C(=O)N1CO,O=c1[nH]sc2ccccc12,2.6457764077692274
CC1(C)C(=O)N(Cl)C(=O)N1Br,CC1(C)C(=O)N(Cl)C(=O)N1Cl,2.6880414079420025
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,CCOc1cc(C(C)(C)C)ccc1C1COC(c2c(F)cccc2F)=N1,3.0212463313746016
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,3.95180540154951
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-],3.324015284673845
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl,4.539128414543988
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,3.7780373088010335
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,3.60301218368443
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,3.7082745521561296
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,2.8253003374960057
CC1=CC(=O)CC(C)(C)C1,CC1CO1,1.6111095288642778
CC1=CC(=O)CC(C)(C)C1,CCCCCCCCCCCCCOCCOCCOCCO,1.6763969213355865
CC1=CC(=O)CC(C)(C)C1,CCCCOCCCC,1.4793466712206258
CC1=CC(=O)CC(C)(C)C1,CCCCOCCO,1.6669060589911235
CC1=CC(=O)CC(C)(C)C1,CCO,1.5311869136058576
CC1=CC(=O)CC(C)(C)C1,CCOC(C)=O,1.573886888948434
CC1=CC(=O)CC(C)(C)C1,Cc1ccccc1,1.4650000131941452
CC1=CC(=O)CC(C)(C)C1,ClC(Cl)(Cl)Cl,1.940697073385448
CC1=CC(=O)CC(C)(C)C1,ClC(Cl)=C(Cl)Cl,1.6574580646929429
CC1=CC(=O)CC(C)(C)C1,Nc1ccccc1,1.8041849303315456
CC1=CC(=O)CC(C)(C)C1,O=[N+]([O-])c1ccccc1,1.968869087687694
CC1=CC(=O)CC(C)(C)C1,OCCNCCO,1.8586785808493584
CC1=CC(=O)CC(C)(C)C1,OCCO,1.3516789255541857
CC1=CC(=O)CC(C)(C)C1,OCCOCCOCCOCCOCCOCCOCCOCCO,1.713754504949013
CC1=CC(=O)CC(C)(C)C1,OCCOc1ccccc1,1.368067935479119
CC1CO1,CCCCCCCCCCCCCOCCOCCOCCO,1.7990571188943916
CC1CO1,CCCCOCCCC,1.6711574745190485
CC1CO1,CCCCOCCO,1.758340314567964
CC1CO1,CCO,1.2203432359018478
CC1CO1,CCOC(C)=O,1.869153570036206
CC1CO1,Cc1ccccc1,1.6715801275032274
CC1CO1,ClC(Cl)(Cl)Cl,1.8978193950880848
CC1CO1,ClC(Cl)=C(Cl)Cl,1.6486007352929812
CC1CO1,Nc1ccccc1,1.8260075996598617
CC1CO1,O=[N+]([O-])c1ccccc1,2.1109068768042065
CC1CO1,OCCNCCO,1.907716843327564
CC1CO1,OCCO,1.399382120464568
CC1CO1,OCCOCCOCCOCCOCCOCCOCCOCCO,2.022442263350208
CC1CO1,OCCOc1ccccc1,1.5860185316689115
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,2.5033343528317467
CCC(C)C1OC2(C=CC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2.COC1CC(OC2C(C)OC(OC3C(C)=CCC4CC(CC5(C=CC(C)C(C(C)C)O5)O4)OC(=O)C4C=C(C)C(O)C5OCC(=CC=CC3C)C45O)CC2OC)OC(C)C1O,COc1ccc(-c2ccccc2)cc1NNC(=O)OC(C)C,3.34669540201995
CCC1CCCC(OC2CCC(N(C)C)C(C)O2)C(C)C(=O)C2=CC3C(C=C(C)C4CC(OC5OC(C)C(OC)C(OC)C5OC)CC43)C2CC(=O)O1.CCC1CCCC(OC2CCC(N(C)C)C(C)O2)C(C)C(=O)C2=CC3C(C=CC4CC(OC5OC(C)C(OC)C(OC)C5OC)CC43)C2CC(=O)O1,Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,4.257922946633413
CCCCC(CC)COC(=O)COc1ccc(Cl)cc1C,NCCO.O=C(O)c1nc(Cl)ccc1Cl,2.332592953634165
CCCCCCC(C)OC(=O)COc1nc(F)c(Cl)c(N)c1Cl,CCCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br,3.437811571063345
CCCCCCCCCCCCCOCCOCCOCCO,CCCCOCCCC,1.5734820321341942
CCCCCCCCCCCCCOCCOCCOCCO,CCCCOCCO,1.699376833088633
CCCCCCCCCCCCCOCCOCCOCCO,CCO,1.4163118384161415
CCCCCCCCCCCCCOCCOCCOCCO,CCOC(C)=O,1.0500552314436629
CCCCCCCCCCCCCOCCOCCOCCO,Cc1ccccc1,1.3835997302047771
CCCCCCCCCCCCCOCCOCCOCCO,ClC(Cl)(Cl)Cl,1.4180102222320732
CCCCCCCCCCCCCOCCOCCOCCO,ClC(Cl)=C(Cl)Cl,1.2736677336513225
CCCCCCCCCCCCCOCCOCCOCCO,Nc1ccccc1,2.10159747649403
CCCCCCCCCCCCCOCCOCCOCCO,O=[N+]([O-])c1ccccc1,2.305136311413667
CCCCCCCCCCCCCOCCOCCOCCO,OCCNCCO,2.011941547198573
CCCCCCCCCCCCCOCCOCCOCCO,OCCO,1.341846792460259
CCCCCCCCCCCCCOCCOCCOCCO,OCCOCCOCCOCCOCCOCCOCCOCCO,1.2427766106519411
CCCCCCCCCCCCCOCCOCCOCCO,OCCOc1ccccc1,1.4354965202676602
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-],CCCCNC(=O)OCC#CI,2.951174969676712
CCCCCCCCn1sccc1=O,COC(=O)Nc1nc2ccccc2[nH]1,2.298452748982802
CCCCCCCCn1sccc1=O,Cn1sccc1=O,3.761237857619781
CCCCOCCCC,CCCCOCCO,1.7089992853997185
CCCCOCCCC,CCO,0.7177214445694087
CCCCOCCCC,CCOC(C)=O,0.9888592347165206
CCCCOCCCC,Cc1ccccc1,0.909239313676302
CCCCOCCCC,ClC(Cl)(Cl)Cl,1.6025792766385143
CCCCOCCCC,ClC(Cl)=C(Cl)Cl,1.531423765519134
CCCCOCCCC,Nc1ccccc1,1.953796816398493
CCCCOCCCC,O=[N+]([O-])c1ccccc1,2.233415549280016
CCCCOCCCC,OCCNCCO,1.8863634804458087
CCCCOCCCC,OCCO,0.9193031884554892
CCCCOCCCC,OCCOCCOCCOCCOCCOCCOCCOCCO,1.017984841719688
CCCCOCCCC,OCCOc1ccccc1,1.4601137436313596
CCCCOCCO,CCO,1.442041433434849
CCCCOCCO,CCOC(C)=O,1.5077518431297394
CCCCOCCO,Cc1ccccc1,1.65618271467354
CCCCOCCO,ClC(Cl)(Cl)Cl,1.8389405963416936
CCCCOCCO,ClC(Cl)=C(Cl)Cl,1.6770460233358602
CCCCOCCO,Nc1ccccc1,1.847023676414624
CCCCOCCO,O=[N+]([O-])c1ccccc1,2.072441606398547
CCCCOCCO,OCCNCCO,1.7760274243190868
CCCCOCCO,OCCO,1.4593843148767969
CCCCOCCO,OCCOCCOCCOCCOCCOCCOCCOCCO,1.902039420144632
CCCCOCCO,OCCOc1ccccc1,1.365219067239155
CCNc1nc(Cl)nc(NC(C)C)n1,CCOC(=O)COc1cc(-n2ncc(C(F)(F)F)c(C)c2=O)c(F)cc1Cl,2.4840358339868454
CCNc1nc(Cl)nc(NC(C)C)n1,CCOCN(C(=O)CCl)c1c(C)cccc1CC,2.478173040489438
CCOC(=O)C(Cl)Cc1cc(-n2nc(C)n(C(F)F)c2=O)c(F)cc1Cl,O=C(O)CSc1cc(N=c2sc(=O)n3n2CCCC3)c(F)cc1Cl,2.722202003706092
CCOC(=O)COc1cc(-c2nn(C)c(OC(F)F)c2Cl)c(F)cc1Cl,COc1c(Cl)ccc(Cl)c1C(=O)O,2.5358054665111864
CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,2.7549416560222224
CCOC(C)=O,Cc1ccccc1,0.7736988609530613
CCOC(C)=O,ClC(Cl)(Cl)Cl,0.9177381296070182
CCOC(C)=O,ClC(Cl)=C(Cl)Cl,1.1548224173861596
CCOC(C)=O,Nc1ccccc1,1.7682914634989584
CCOC(C)=O,O=[N+]([O-])c1ccccc1,2.008425902523466
CCOC(C)=O,OCCNCCO,1.820640761016945
CCOC(C)=O,OCCO,0.7265951233293315
CCOC(C)=O,OCCOCCOCCOCCOCCOCCOCCOCCO,0.9711126787366616
CCOC(C)=O,OCCOc1ccccc1,1.2251699871139603
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,3.996529628385455
CCO,CCOC(C)=O,0.609649313570915
CCO,Cc1ccccc1,1.0663235573464869
CCO,ClC(Cl)(Cl)Cl,1.2346290319261857
CCO,ClC(Cl)=C(Cl)Cl,1.0696900720883165
CCO,Nc1ccccc1,1.5270184454786015
CCO,O=[N+]([O-])c1ccccc1,1.927766578805835
CCO,OCCNCCO,1.875456083637419
CCO,OCCO,0.1468800599964212
CCO,OCCOCCOCCOCCOCCOCCOCCOCCO,0.7346047953806782
CCO,OCCOc1ccccc1,1.1831117922953445
CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,COCC(C)N(C(=O)CCl)c1c(C)csc1C,2.3515475459566235
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,COC(=O)Nc1nc2ccccc2[nH]1,2.217989079970455
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,O=C(Nc1ccccc1)Nc1cnns1,2.4789157228248277
CNC(=N[N+](=O)[O-])NCc1cnc(Cl)s1,Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,3.401107130960659
CNC(=O)Oc1ccccc1OC(C)C,COP(=O)(OC)OC=C(Cl)Cl,3.680189807501703
CNC.COc1c(Cl)ccc(Cl)c1C(=O)O,CNC.O=C(O)COc1ccc(Cl)cc1Cl,3.369425181517386
CNC.O=C(O)COc1ccc(Cl)cc1Cl,Cc1nn(-c2cc(NS(C)(=O)=O)c(Cl)cc2Cl)c(=O)n1C(F)F,2.719562117532444
CNC.O=C(O)COc1ccc(Cl)cc1Cl,O=C(O)COc1nc(Cl)c(Cl)cc1Cl,2.2440954702163403
COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,2.7024056880589296
COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,N#Cc1c[nH]cc1-c1cccc2c1OC(F)(F)O2,2.4303264769438737
COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,N#Cc1c[nH]cc1-c1cccc2c1OC(F)(F)O2,2.2345839575406328
CON=C(C(=O)OC)c1ccccc1CON=C(C)c1cccc(C(F)(F)F)c1,OC(Cc1ccccc1Cl)(Cn1[nH]cnc1=S)C1(Cl)CC1,2.2578061788086177
COP(=O)(NC(C)=O)SC,O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,2.135351014971915
COc1c(Cl)ccc(Cl)c1C(=O)[O-].[Na+],COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2OCCCl)n1,2.017947670572449
