PairKey,Formulation_ID,DrugA,DrugB,CASRN_A,CASRN_B,SMILES_A,SMILES_B,MW_A,MW_B,Percent_Active_A,Percent_Active_B,Total_Active_Percent_Known,Known_Component_Count,Effective_Mixture_MW_ActiveOnly,LD50_A_mg_per_kg,LD50_B_mg_per_kg,neglog_A,neglog_B,Mixture_LD50_mg_per_kg,Mixture_neglog_molkg
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C||CCOc1cc(C(C)(C)C)ccc1C1COC(c2c(F)cccc2F)=N1,AcuteOralToxicity_PID_630,Etoxazole,Fenpropathrin,153233-91-1,39515-41-8,CCOc1cc(C(C)(C)C)ccc1C1COC(c2c(F)cccc2F)=N1,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,359.416,349.43000000000006,7.0,25.5,32.5,2.0,351.533660979072,4274.0,,1.9247628887151922,,1030.0,3.0212463313746016
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1||COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,AcuteOralToxicity_PID_545,Deltamethrin,Chlorpyrifos-methyl,52918-63-5,5598-13-0,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,505.20600000000024,322.53700000000003,3.7,21.6,25.3,2.0,340.544412510164,,1828.0,,2.2466033507490377,150.4,3.95180540154951
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1||CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-],AcuteOralToxicity_PID_231,Thiamethoxam,lambda-Cyhalothrin,153719-23-4,91465-08-6,CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-],CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,291.72,449.8560000000001,15.399999999999999,6.545,21.945,2.0,324.0032763789351,1563.0,56.0,2.271007226871774,3.904885490294312,1030.1,3.324015284673845
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1||CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl,AcuteOralToxicity_PID_643,Chlorantraniliprole,lambda-Cyhalothrin,500008-45-7,91465-08-6,CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,483.153,449.8560000000001,9.26,4.63,13.89,2.0,471.51951051187217,,56.0,,3.904885490294312,98.1,4.539128414543988
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1||O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,AcuteOralToxicity_PID_619,Diflubenzuron,lambda-Cyhalothrin,35367-38-5,91465-08-6,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,310.687,449.8560000000001,22.0,11.0,33.0,2.0,346.40910411855936,2715.0,56.0,2.0585532476327106,3.904885490294312,175.0,3.7780373088010344
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1||O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,AcuteOralToxicity_PID_340,Imidacloprid,lambda-Cyhalothrin,138261-41-3,91465-08-6,O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,255.665,449.8560000000001,14.49,10.68,25.17,2.0,312.9948506937404,,56.0,,3.904885490294312,310.2,3.60301218368443
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1||Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,AcuteOralToxicity_PID_317,Zeta-Cypermethrin,Bifenthrin,1315501-18-8,82657-04-3,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,416.30400000000014,422.8740000000001,3.25,11.75,15.0,2.0,421.4329621487693,,54.5,,3.889814481513789,550.0,3.7082745521561304
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1||CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,AcuteOralToxicity_PID_386,Piperonyl butoxide,Permethrin,51-03-6,52645-53-1,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,338.44400000000013,391.2940000000001,23.75,5.125,31.25,3.0,360.55509487459153,6150.0,950.0,1.7406117034704207,2.6147795833047294,1750.0,2.8253003374960057
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1||N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,AcuteOralToxicity_PID_103,Difenoconazole,Chlorothalonil,119446-68-3,1897-45-6,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,406.2690000000001,265.914,4.0,40.0,44.0,2.0,274.53626238990677,1453.0,422.0,2.4465480708327907,2.7994287519685725,1958.0,2.5033343528317467
CCC(C)C1OC2(C=CC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2.COC1CC(OC2C(C)OC(OC3C(C)=CCC4CC(CC5(C=CC(C)C(C(C)C)O5)O4)OC(=O)C4C=C(C)C(O)C5OCC(=CC=CC3C)C45O)CC2OC)OC(C)C1O||COc1ccc(-c2ccccc2)cc1NNC(=O)OC(C)C,AcuteOralToxicity_PID_451,Bifenazate,Abamectin,149877-41-8,71751-41-2,COc1ccc(-c2ccccc2)cc1NNC(=O)OC(C)C,CCC(C)C1OC2(C=CC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2.COC1CC(OC2C(C)OC(OC3C(C)=CCC4CC(CC5(C=CC(C)C(C(C)C)O5)O4)OC(=O)C4C=C(C)C(O)C5OCC(=CC=CC3C)C45O)CC2OC)OC(C)C1O,300.35800000000006,1732.1529999999996,43.2,2.2,45.400000000000006,2.0,312.8909834869659,,,,,310.2,3.34669540201995
CCC1CCCC(OC2CCC(N(C)C)C(C)O2)C(C)C(=O)C2=CC3C(C=C(C)C4CC(OC5OC(C)C(OC)C(OC)C5OC)CC43)C2CC(=O)O1.CCC1CCCC(OC2CCC(N(C)C)C(C)O2)C(C)C(=O)C2=CC3C(C=CC4CC(OC5OC(C)C(OC)C(OC)C5OC)CC43)C2CC(=O)O1||Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,AcuteOralToxicity_PID_197,Spinosad,Bifenthrin,168316-95-8,82657-04-3,CCC1CCCC(OC2CCC(N(C)C)C(C)O2)C(C)C(=O)C2=CC3C(C=C(C)C4CC(OC5OC(C)C(OC)C(OC)C5OC)CC43)C2CC(=O)O1.CCC1CCCC(OC2CCC(N(C)C)C(C)O2)C(C)C(=O)C2=CC3C(C=CC4CC(OC5OC(C)C(OC)C(OC)C5OC)CC43)C2CC(=O)O1,Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,1477.9629999999993,422.8740000000001,10.7,12.2,22.9,2.0,634.5266393204946,,54.5,,3.889814481513789,153.0,4.257922946633413
CCCCC(CC)COC(=O)COc1ccc(Cl)cc1C||NCCO.O=C(O)c1nc(Cl)ccc1Cl,AcuteOralToxicity_PID_645,MCPA-2-ethylhexyl,Clopyralid-olamine,29450-45-1,57754-85-5,CCCCC(CC)COC(=O)COc1ccc(Cl)cc1C,NCCO.O=C(O)c1nc(Cl)ccc1Cl,312.837,253.08499999999998,30.73,5.6,46.699999999999996,3.0,314.27902514482287,,,,,3129.0,2.332592953634165
CCCCCCC(C)OC(=O)COc1nc(F)c(Cl)c(N)c1Cl||CCCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br,AcuteOralToxicity_PID_543,Bromoxynil octanoate,Fluroxypyr-meptyl,1689-99-2,81406-37-3,CCCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br,CCCCCCC(C)OC(=O)COc1nc(F)c(Cl)c(N)c1Cl,403.11400000000003,367.24800000000005,37.29,9.23,46.519999999999996,2.0,395.45135738846665,250.0,5000.0,3.2074878726295255,1.865989435003528,310.2,3.437811571063345
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-]||CCCCNC(=O)OCC#CI,AcuteOralToxicity_PID_519,3-Iodo-2-propynylbutylcarbamate,Didecyl dimethyl ammonium chloride,55406-53-6,7173-51-5,CCCCNC(=O)OCC#CI,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-],281.09299999999996,362.0860000000001,4.0,18.0,22.0,2.0,344.06119957812047,1300.0,283.5,2.3349066782909063,3.1062586699827603,1750.0,2.9511749696767113
CCCCCCCCn1sccc1=O||COC(=O)Nc1nc2ccccc2[nH]1,AcuteOralToxicity_PID_452,Carbendazim,Octhilinone,10605-21-7,26530-20-1,COC(=O)Nc1nc2ccccc2[nH]1,CCCCCCCCn1sccc1=O,191.19000000000003,213.346,10.0,3.0,35.0,3.0,217.73405283842706,6400.0,550.0,1.4752851992156413,2.5887218152393454,3129.0,2.298452748982802
CCCCCCCCn1sccc1=O||Cn1sccc1=O,AcuteOralToxicity_PID_096,Octhilinone,Methylisothiazolinone,26530-20-1,2682-20-4,CCCCCCCCn1sccc1=O,Cn1sccc1=O,213.346,115.15699999999998,10.0,15.0,25.0,2.0,141.13993718633378,550.0,637.0,2.5887218152393454,2.2571509100428324,97.83,3.7612378576197814
CCNc1nc(Cl)nc(NC(C)C)n1||CCOC(=O)COc1cc(-n2ncc(C(F)(F)F)c(C)c2=O)c(F)cc1Cl,AcuteOralToxicity_PID_262,Flufenpyr-ethyl,Atrazine,188489-07-8,1912-24-9,CCOC(=O)COc1cc(-n2ncc(C(F)(F)F)c(C)c2=O)c(F)cc1Cl,CCNc1nc(Cl)nc(NC(C)C)n1,408.7350000000001,215.68800000000002,74.6,1.99,76.58999999999999,2.0,399.44584962284125,,1960.0,,2.0415699120457704,1711.0,2.4840358339868454
CCNc1nc(Cl)nc(NC(C)C)n1||CCOCN(C(=O)CCl)c1c(C)cccc1CC,AcuteOralToxicity_PID_396,Atrazine,Acetochlor,1912-24-9,34256-82-1,CCNc1nc(Cl)nc(NC(C)C)n1,CCOCN(C(=O)CCl)c1c(C)cccc1CC,215.68800000000002,269.772,26.9,33.4,60.3,2.0,242.63109939078254,1960.0,,2.0415699120457704,,1338.0,2.478173040489438
CCOC(=O)C(Cl)Cc1cc(-n2nc(C)n(C(F)F)c2=O)c(F)cc1Cl||O=C(O)CSc1cc(N=c2sc(=O)n3n2CCCC3)c(F)cc1Cl,AcuteOralToxicity_PID_243,Carfentrazone-ethyl,Fluthiacet-methyl,128639-02-1,149253-65-6,CCOC(=O)C(Cl)Cc1cc(-n2nc(C)n(C(F)F)c2=O)c(F)cc1Cl,O=C(O)CSc1cc(N=c2sc(=O)n3n2CCCC3)c(F)cc1Cl,412.19500000000005,389.8610000000002,19.91,4.79,24.7,2.0,407.66602629038323,,,,,3129.0,2.722202003706092
CCOC(=O)COc1cc(-c2nn(C)c(OC(F)F)c2Cl)c(F)cc1Cl||COc1c(Cl)ccc(Cl)c1C(=O)O,AcuteOralToxicity_PID_416,Pyraflufen-ethyl,Dicamba,129630-19-9,1918-00-9,CCOC(=O)COc1cc(-c2nn(C)c(OC(F)F)c2Cl)c(F)cc1Cl,COc1c(Cl)ccc(Cl)c1C(=O)O,413.1790000000001,221.039,0.06,2.52,46.92,4.0,302.59312595941043,,1414.0,,2.1940194976653435,1878.0,2.5358054665111864
CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1||COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,AcuteOralToxicity_PID_082,Desmedipham,Phenmedipham,13684-56-5,13684-63-4,CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,300.314,300.314,8.0,8.0,16.0,2.0,300.314,9600.0,4000.0,1.4953043455164665,1.8755155872280724,3300.0,2.7549416560222224
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl||Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,AcuteOralToxicity_PID_617,Chlorpyrifos,Bifenthrin,2921-88-2,82657-04-3,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,350.591,422.8740000000001,28.6,9.0,37.6,2.0,365.54727351391114,223.0,54.5,3.1964959001057762,3.889814481513789,98.0,3.9965296283854546
CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1||COCC(C)N(C(=O)CCl)c1c(C)csc1C,AcuteOralToxicity_PID_464,Imazethapyr,Dimethenamid,81335-77-5,87674-68-8,CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,COCC(C)N(C(=O)CCl)c1c(C)csc1C,289.335,275.80100000000004,5.21,62.52,67.73,2.0,276.79696291658547,,397.0,,2.841805329745659,1819.0,2.3515475459566235
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1||COC(=O)Nc1nc2ccccc2[nH]1,AcuteOralToxicity_PID_448,Carbendazim,Diuron,10605-21-7,330-54-1,COC(=O)Nc1nc2ccccc2[nH]1,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,191.19000000000003,233.09799999999998,9.0,15.0,27.0,3.0,221.13595770356758,6400.0,,1.4752851992156413,,4958.0,2.217989079970455
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1||O=C(Nc1ccccc1)Nc1cnns1,AcuteOralToxicity_PID_586,Diuron,Thidiazuron,330-54-1,51707-55-2,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,O=C(Nc1ccccc1)Nc1cnns1,233.09799999999998,220.25699999999998,6.0,12.0,18.0,2.0,224.37719488151407,,5350.0,,1.6145759376193367,4138.0,2.4789157228248273
CNC(=N[N+](=O)[O-])NCc1cnc(Cl)s1||Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,AcuteOralToxicity_PID_040,Clothianidin,Bifenthrin,210880-92-5,82657-04-3,CNC(=N[N+](=O)[O-])NCc1cnc(Cl)s1,Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,249.683,422.8740000000001,24.7,12.3,37.0,2.0,289.0351415682852,2000.0,54.5,2.0963589781750414,3.889814481513789,310.2,3.401107130960659
CNC(=O)Oc1ccccc1OC(C)C||COP(=O)(OC)OC=C(Cl)Cl,AcuteOralToxicity_PID_473,Propoxur,Dichlorvos,114-26-1,62-73-7,CNC(=O)Oc1ccccc1OC(C)C,COP(=O)(OC)OC=C(Cl)Cl,209.24499999999998,220.976,0.665,0.186,1.601,3.0,245.06489641108902,83.0,,3.4015769967582634,,3235.0,3.680189807501703
CNC.COc1c(Cl)ccc(Cl)c1C(=O)O||CNC.O=C(O)COc1ccc(Cl)cc1Cl,AcuteOralToxicity_PID_128,"2,4-D-dimethylammonium",Dicamba-dimethylammonium,2008-39-1,2300-66-5,CNC.O=C(O)COc1ccc(Cl)cc1Cl,CNC.COc1c(Cl)ccc(Cl)c1C(=O)O,266.124,266.12399999999997,4.74,0.53,6.5,4.0,266.30332369765347,764.0,2629.0,2.5419906839484803,2.005293456417807,1750.0,3.369425181517386
