DrugA,DrugB,SMILES_A,SMILES_B,LD50_A_mg/kg,LD50_B_mg/kg,Mixture_LD50_mg/kg,MW_A,MW_B,LD50_A_neglog,LD50_B_neglog,Mixture_neglog
Acrylonitrile,Nitrobenzene,C=CC#N,[O-][N+](=O)c1ccccc1,112.84000000000002,599.5,267.6675,53.06399999999999,123.11099999999996,2.6723369068069913,2.3125076715555126,2.5173186418485294
Acrylonitrile,Phenyl Cellosolve,C=CC#N,c1ccccc1OCCO,112.84000000000002,3614.56,237.546,53.06399999999999,138.166,2.6723369068069913,1.582345746423963,2.6047783075705544
Acrylonitrile,PEG 400,C=CC#N,OCCOCCOCCOCCOCCOCCOCCOCCO,112.84000000000002,45232.8,306.539,53.06399999999999,370.4390000000002,2.6723369068069913,0.9132632308859374,2.8393407591573188
Acrylonitrile,Propylene glycol,C=CC#N,CC(O)CO,112.84000000000002,45894.8,338.007,53.06399999999999,76.095,2.6723369068069913,0.21959263974080165,2.281168983765782
Acrylonitrile,Propylene oxide,C=CC#N,CC1CO1,112.84000000000002,627.07,391.275,53.06399999999999,58.08,2.6723369068069913,1.9667105837403391,2.152373926927443
Acrylonitrile,Tergitol XD,C=CC#N,CCCCCCCCCCCCCOCCOCCOCCO,112.84000000000002,5999.6,163.275,53.06399999999999,332.5250000000001,2.6723369068069913,1.7437020056790038,3.0721749478512317
Acrylonitrile,Tetrachloroethylene,C=CC#N,ClC(Cl)=C(Cl)Cl,112.84000000000002,12976.0,227.018,53.06399999999999,165.834,2.6723369068069913,1.1065327393989566,2.6831515046385745
Acrylonitrile,Toluene,C=CC#N,Cc1ccccc1,112.84000000000002,6762.6,163.954,53.06399999999999,92.14099999999999,2.6723369068069913,1.1343392211439922,2.6462295588318625
Acrylonitrile,Ucon 50HB260,C=CC#N,CC(C)OCC(C)OCC(C)O,112.84000000000002,5596.500000000001,263.552,53.06399999999999,176.256,2.6723369068069913,1.4982274018082817,2.638545621172757
Acrylonitrile,Ucon LB250,C=CC#N,CC(C)OCC(C)OCC(C)O,112.84000000000002,10605.0,256.12800000000004,53.06399999999999,176.256,2.6723369068069913,1.2206332370522115,2.6509548791545767
Aniline,Butyl Cellosolve,Nc1ccccc1,CCCCOCCO,725.6199999999999,2146.76,1502.644,93.12899999999999,118.17599999999999,2.1083756950975885,1.740745791372431,1.8470236764146237
Aniline,Butyl ether,Nc1ccccc1,CCCCOCCCC,725.6199999999999,10390.4,1242.1630000000002,93.12899999999999,130.231,2.1083756950975885,1.0980821084263572,1.953796816398493
Aniline,Carbon tetrachloride,Nc1ccccc1,ClC(Cl)(Cl)Cl,725.6199999999999,4909.52,1479.3480000000002,93.12899999999999,153.823,2.1083756950975885,1.4959822435581474,1.9215122031721459
Aniline,Diethanolamine,Nc1ccccc1,OCCNCCO,725.6199999999999,877.6,1189.8185,93.12899999999999,105.137,2.1083756950975885,2.07845896604771,1.9207375318513036
Aniline,Dioxane,Nc1ccccc1,C1COCCO1,725.6199999999999,6683.509999999999,1461.1049999999996,93.12899999999999,88.106,2.1083756950975885,1.1200008825933447,1.7925306495375792
Aniline,Ethyl acetate,Nc1ccccc1,CCOC(=O)C,725.6199999999999,9831.8,1544.972,93.12899999999999,88.106,2.1083756950975885,0.9523724492991003,1.7682914634989584
Aniline,Ethyl acrylate,Nc1ccccc1,CCOC(=O)C=C,725.6199999999999,761.1099999999999,1373.7815,93.12899999999999,100.11699999999999,2.1083756950975885,2.1190603994765276,1.8471628538934002
Aniline,Ethyl alcohol,Nc1ccccc1,CCO,725.6199999999999,15543.3,2068.162,93.12899999999999,46.069,2.1083756950975885,0.4718655559401559,1.5270184454786015
Aniline,Ethylene glycol,Nc1ccccc1,OCCO,725.6199999999999,7189.9800000000005,1923.635,93.12899999999999,62.068000000000005,2.1083756950975885,0.9361400691300721,1.6057306559693834
Aniline,Formalin,Nc1ccccc1,C=O,725.6199999999999,2016.5,3495.36,93.12899999999999,30.026,2.1083756950975885,1.1728992539194776,1.2459301409235712
