DrugA,DrugB,SMILES_A,SMILES_B,LD50_A_mg/kg,LD50_B_mg/kg,Mixture_LD50_mg/kg
Acrylonitrile,Ethyl acetate,C=CC#N,CCOC(=O)C,112.84000000000002,9831.800000000001,186.17200000000003
Acrylonitrile,Ethyl acrylate,C=CC#N,CCOC(=O)C=C,112.84000000000002,761.1099999999999,240.35850000000002
Acrylonitrile,Ethyl alcohol,C=CC#N,CCO,112.84000000000002,15543.300000000001,221.70500000000004
Acrylonitrile,Ethylene glycol,C=CC#N,OCCO,112.84000000000002,7189.9800000000005,243.71300000000002
Acrylonitrile,Formalin,C=CC#N,C=O,112.84000000000002,2016.5000000000002,448.404
Acrylonitrile,Isophorone,C=CC#N,CC1=CC(=O)CC(C)(C)C1,112.84000000000002,2104.44,219.58300000000003
Acrylonitrile,Morpholine,C=CC#N,C1COCCN1,112.84000000000002,1631.34,519.4245
Acrylonitrile,Nitrobenzene,C=CC#N,[O-][N+](=O)c1ccccc1,112.84000000000002,599.5,267.6675
Acrylonitrile,Phenyl Cellosolve,C=CC#N,c1ccccc1OCCO,112.84000000000002,3614.56,237.54600000000002
Acrylonitrile,PEG 400,C=CC#N,OCCOCCOCCOCCOCCOCCOCCOCCO,112.84000000000002,45232.799999999996,306.539
Acrylonitrile,Propylene glycol,C=CC#N,CC(O)CO,112.84000000000002,45894.799999999996,338.007
Acrylonitrile,Propylene oxide,C=CC#N,CC1CO1,112.84000000000002,627.07,391.275
Acrylonitrile,Tergitol XD,C=CC#N,CCCCCCCCCCCCCOCCOCCOCCO,112.84000000000002,5999.6,163.275
Acrylonitrile,Tetrachloroethylene,C=CC#N,ClC(Cl)=C(Cl)Cl,112.84000000000002,12976.0,227.018
Acrylonitrile,Toluene,C=CC#N,Cc1ccccc1,112.84000000000002,6762.6,163.954
Acrylonitrile,Ucon 50HB260,C=CC#N,CC(C)OCC(C)OCC(C)O,112.84000000000002,5596.500000000001,263.552
Acrylonitrile,Ucon LB250,C=CC#N,CC(C)OCC(C)OCC(C)O,112.84000000000002,10605.0,256.12800000000004
Aniline,Butyl Cellosolve,Nc1ccccc1,CCCCOCCO,725.6199999999999,2146.76,1502.644
Aniline,Butyl ether,Nc1ccccc1,CCCCOCCCC,725.6199999999999,10390.4,1242.1630000000002
Aniline,Carbon tetrachloride,Nc1ccccc1,ClC(Cl)(Cl)Cl,725.6199999999999,4909.52,1479.3480000000002
Aniline,Diethanolamine,Nc1ccccc1,OCCNCCO,725.6199999999999,877.6,1189.8184999999999
Aniline,Dioxane,Nc1ccccc1,C1COCCO1,725.6199999999999,6683.509999999999,1461.1049999999996
Aniline,Ethyl acetate,Nc1ccccc1,CCOC(=O)C,725.6199999999999,9831.800000000001,1544.972
Aniline,Ethyl acrylate,Nc1ccccc1,CCOC(=O)C=C,725.6199999999999,761.1099999999999,1373.7815
Aniline,Ethyl alcohol,Nc1ccccc1,CCO,725.6199999999999,15543.300000000001,2068.162
Aniline,Ethylene glycol,Nc1ccccc1,OCCO,725.6199999999999,7189.9800000000005,1923.6349999999998
Aniline,Formalin,Nc1ccccc1,C=O,725.6199999999999,2016.5000000000002,3495.36
Aniline,Isophorone,Nc1ccccc1,CC1=CC(=O)CC(C)(C)C1,725.6199999999999,2104.44,1815.6575000000003
Aniline,Morpholine,Nc1ccccc1,C1COCCN1,725.6199999999999,1631.34,758.846
Aniline,Nitrobenzene,Nc1ccccc1,[O-][N+](=O)c1ccccc1,725.6199999999999,599.5,494.1725
Aniline,Phenyl Cellosolve,Nc1ccccc1,c1ccccc1OCCO,725.6199999999999,3614.56,1652.4720000000002
Aniline,PEG 400,Nc1ccccc1,OCCOCCOCCOCCOCCOCCOCCOCCO,725.6199999999999,45232.799999999996,1339.45
Aniline,Propylene glycol,Nc1ccccc1,CC(O)CO,725.6199999999999,45894.799999999996,2025.0719999999997
Aniline,Propylene oxide,Nc1ccccc1,CC1CO1,725.6199999999999,627.07,1128.6000000000001
Aniline,Tergitol XD,Nc1ccccc1,CCCCCCCCCCCCCOCCOCCOCCO,725.6199999999999,5999.6,1684.338
Aniline,Tetrachloroethylene,Nc1ccccc1,ClC(Cl)=C(Cl)Cl,725.6199999999999,12976.0,1874.596
Aniline,Toluene,Nc1ccccc1,Cc1ccccc1,725.6199999999999,6762.6,1638.7075000000002
Aniline,Ucon 50HB260,Nc1ccccc1,CC(C)OCC(C)OCC(C)O,725.6199999999999,5596.500000000001,1458.6879999999999
Aniline,Ucon LB250,Nc1ccccc1,CC(C)OCC(C)OCC(C)O,725.6199999999999,10605.0,2217.0400000000004
Butyl Cellosolve,Butyl ether,CCCCOCCO,CCCCOCCCC,2146.76,10390.4,2427.362
