SMILES_A,SMILES_B,Mixture_neglog
CCCCOCCCC,CCOC(=O)C,0.9888592347165206
CCCCOCCCC,CCOC(=O)C=C,1.8615053778553665
CCCCOCCCC,CCO,0.7177214445694087
CCCCOCCCC,OCCO,0.9193031884554892
CCCCOCCCC,C=O,1.7893401709160641
CCCCOCCCC,CC1=CC(=O)CC(C)(C)C1,1.4793466712206258
CCCCOCCCC,C1COCCN1,1.5910503347849787
CCCCOCCCC,[O-][N+](=O)c1ccccc1,2.2334155492800156
CCCCOCCCC,c1ccccc1OCCO,1.4601137436313596
CCCCOCCCC,OCCOCCOCCOCCOCCOCCOCCOCCO,1.017984841719688
CCCCOCCCC,CC(O)CO,0.5670660199736792
CCCCOCCCC,CC1CO1,1.6711574745190483
CCCCOCCCC,CCCCCCCCCCCCCOCCOCCOCCO,1.5734820321341942
CCCCOCCCC,ClC(Cl)=C(Cl)Cl,1.531423765519134
CCCCOCCCC,Cc1ccccc1,0.9092393136763021
CCCCOCCCC,CC(C)OCC(C)OCC(C)O,1.4707585406877999
CCCCOCCCC,CC(C)OCC(C)OCC(C)O,0.887906134834449
ClC(Cl)(Cl)Cl,OCCNCCO,1.9474891633779339
ClC(Cl)(Cl)Cl,C1COCCO1,1.4265346631558848
ClC(Cl)(Cl)Cl,CCOC(=O)C,0.9177381296070182
ClC(Cl)(Cl)Cl,CCOC(=O)C=C,1.7806103882463156
ClC(Cl)(Cl)Cl,CCO,1.2346290319261857
ClC(Cl)(Cl)Cl,OCCO,1.0296483079272591
ClC(Cl)(Cl)Cl,C=O,1.1345426943871542
ClC(Cl)(Cl)Cl,CC1=CC(=O)CC(C)(C)C1,1.9406970733854478
ClC(Cl)(Cl)Cl,C1COCCN1,1.9863196739430502
ClC(Cl)(Cl)Cl,[O-][N+](=O)c1ccccc1,2.229149476843986
ClC(Cl)(Cl)Cl,c1ccccc1OCCO,1.5779769734446476
ClC(Cl)(Cl)Cl,OCCOCCOCCOCCOCCOCCOCCOCCO,1.591637191164947
ClC(Cl)(Cl)Cl,CC(O)CO,1.0733255364783372
ClC(Cl)(Cl)Cl,CC1CO1,1.8978193950880846
ClC(Cl)(Cl)Cl,CCCCCCCCCCCCCOCCOCCOCCO,1.4180102222320732
ClC(Cl)(Cl)Cl,ClC(Cl)=C(Cl)Cl,1.5898073296969764
ClC(Cl)(Cl)Cl,Cc1ccccc1,1.533634063041502
ClC(Cl)(Cl)Cl,CC(C)OCC(C)OCC(C)O,1.4238891310204778
ClC(Cl)(Cl)Cl,CC(C)OCC(C)OCC(C)O,1.2147435716102113
OCCNCCO,C1COCCO1,1.7487456503543675
OCCNCCO,CCOC(=O)C,1.820640761016945
OCCNCCO,CCOC(=O)C=C,1.5443391742225656
OCCNCCO,CCO,1.875456083637419
OCCNCCO,OCCO,1.5767426095426784
OCCNCCO,C=O,2.005679204511295
OCCNCCO,CC1=CC(=O)CC(C)(C)C1,1.8586785808493582
OCCNCCO,C1COCCN1,1.8993884645097763
OCCNCCO,[O-][N+](=O)c1ccccc1,2.0534462219618566
OCCNCCO,c1ccccc1OCCO,1.815521875883107
